problem,instance,cost,dist,time,events,skipped
TWdf_RC_7,3,2437.79,2437.79,5.21,149,128
TWdf_R_1,5,10102229.57,2229.57,4.20,152,133
TWh_RC_8,2,20201342.50,1342.50,23.08,102,85
TWdf_RC_4,4,30302209.21,2209.21,3.66,144,126
TWh_C_8,8,40401371.76,1371.76,20.05,99,83
TWdf_C_1,4,1587.20,1587.20,3.20,119,102
TWr_C_8,5,10101470.12,1470.12,14.83,95,79
TWh_RC_8,10,10101548.75,1548.75,42.58,112,97
TWdf_R_9,4,50502941.37,2941.37,5.51,168,142
TWr_R_7,10,1292.97,1292.97,14.68,88,76
TWdf_R_4,7,2007.92,2007.92,4.41,146,125
TWr_RC_3,3,30301413.26,1413.26,26.90,102,88
TWr_C_5,2,10101478.74,1478.74,14.49,113,102
TWh_R_9,1,10101287.80,1287.80,19.99,74,63
TWdf_R_4,5,20201998.33,1998.33,3.66,139,119
TWr_R_9,1,10101298.73,1298.73,23.66,95,83
TWh_C_5,4,20201540.80,1540.80,18.50,108,93
TWdf_C_4,3,10102503.52,2503.52,4.22,139,114
TWdf_RC_2,1,20201894.15,1894.15,2.72,125,110
TWh_RC_9,8,10101297.01,1297.01,22.31,89,75
TWh_R_3,9,40401189.09,1189.09,17.17,107,92
TWh_C_4,2,30301507.47,1507.47,21.30,92,77
TWh_R_5,10,10101550.43,1550.43,40.19,101,87
TWr_RC_2,2,1042.15,1042.15,8.52,66,58
TWh_C_2,3,30301489.47,1489.47,18.95,93,76
TWh_R_1,1,10101191.30,1191.30,23.75,95,85
TWh_C_3,4,20201502.82,1502.82,18.34,103,89
TWr_RC_6,4,20201227.76,1227.76,26.42,96,84
TWh_R_6,3,40401398.46,1398.46,28.62,88,75
TWr_C_9,10,20201430.12,1430.12,12.98,87,74
TWdf_RC_3,2,30302160.65,2160.65,3.13,123,107
TWr_C_1,2,1289.60,1289.60,17.75,104,90
TWdf_RC_4,7,30302436.26,2436.26,4.66,158,135
TWr_RC_1,4,10101525.50,1525.50,17.13,111,97
TWr_RC_9,1,1424.57,1424.57,21.20,94,80
TWdf_RC_2,7,10102873.54,2873.54,4.39,152,123
TWh_RC_6,2,20201020.00,1020.00,8.83,74,63
TWh_RC_2,10,10101301.54,1301.54,18.93,73,61
TWdf_R_7,10,2221.32,2221.32,3.80,120,97
TWr_RC_1,6,20201572.00,1572.00,13.30,113,96
TWh_C_8,3,10101338.82,1338.82,18.61,90,77
TWr_RC_5,5,50501415.24,1415.24,15.00,85,75
TWr_R_9,9,10101318.18,1318.18,15.50,100,87
TWh_R_5,7,10101164.57,1164.57,16.26,90,77
TWr_C_2,6,10101293.44,1293.44,20.37,89,77
TWh_RC_6,9,10101054.03,1054.03,17.21,84,72
TWh_R_3,1,1195.51,1195.51,15.65,119,107
TWr_C_3,8,20201722.35,1722.35,14.21,109,93
TWh_R_2,7,10101309.52,1309.52,10.59,70,57
TWh_R_4,10,1019.58,1019.58,10.82,80,68
TWh_C_3,7,20201605.88,1605.88,13.42,117,103
TWh_C_1,8,30301294.40,1294.40,12.54,97,84
TWdf_C_9,8,20201401.59,1401.59,2.64,114,101
TWr_C_7,1,1379.32,1379.32,10.65,91,78
TWdf_R_9,5,20201871.70,1871.70,3.68,135,116
TWdf_R_5,8,2187.77,2187.77,4.50,146,124
TWr_C_9,6,1302.80,1302.80,16.49,82,69
TWdf_RC_4,2,20202508.35,2508.35,5.60,172,146
TWdf_R_7,5,40403351.43,3351.43,5.61,157,129
TWh_R_4,7,1265.42,1265.42,16.55,79,66
TWh_R_9,8,20201585.22,1585.22,21.19,94,78
TWr_C_9,2,20201578.66,1578.66,14.08,94,80
TWh_RC_5,4,40401735.70,1735.70,22.03,107,93
TWr_R_5,8,10101198.09,1198.09,23.36,102,90
TWdf_R_5,2,2035.53,2035.53,3.49,118,100
TWr_R_2,7,10101348.57,1348.57,8.94,76,64
TWdf_RC_3,6,10102176.96,2176.96,3.10,129,109
TWdf_RC_6,7,30302209.25,2209.25,4.62,159,138
TWr_R_6,9,1313.54,1313.54,22.33,98,85
TWdf_R_6,1,1999.38,1999.38,3.16,115,96
TWr_R_4,10,876.67,876.67,10.74,81,72
TWr_R_7,6,10101254.73,1254.73,10.29,81,69
TWh_C_1,5,30301166.40,1166.40,14.41,83,74
TWdf_RC_8,2,20202012.50,2012.50,5.07,155,134
TWr_R_1,4,30301257.39,1257.39,25.52,129,118
TWh_C_9,2,30301319.27,1319.27,59.45,102,89
TWr_C_5,7,10101475.31,1475.31,26.31,114,101
TWh_RC_7,8,40401324.64,1324.64,19.80,94,82
TWr_R_8,10,1045.66,1045.66,10.59,69,59
TWh_C_2,5,10101448.24,1448.24,11.22,99,87
TWdf_C_9,6,1802.20,1802.20,3.35,116,97
TWdf_RC_5,1,20203028.54,3028.54,4.03,142,117
TWdf_RC_6,5,10101981.79,1981.79,3.26,115,99
TWh_R_3,5,1378.40,1378.40,45.93,121,107
TWdf_RC_1,2,2409.00,2409.00,5.05,169,147
TWh_C_1,1,20201368.00,1368.00,31.35,111,97
TWh_RC_5,7,40401472.32,1472.32,19.16,87,75
TWdf_C_2,1,20202753.59,2753.59,3.22,137,116
TWh_C_5,3,10101305.94,1305.94,13.39,80,67
TWr_R_9,2,40401477.06,1477.06,20.12,109,93
TWdf_C_3,4,20202388.71,2388.71,3.10,126,106
TWdf_R_1,2,1871.30,1871.30,3.16,115,95
TWr_RC_2,4,1460.31,1460.31,18.94,101,87
TWr_R_3,8,20201483.64,1483.64,14.53,99,85
TWh_C_7,9,30301634.32,1634.32,22.54,104,88
TWr_RC_1,3,1368.00,1368.00,17.02,111,94
TWdf_RC_1,9,2938.50,2938.50,4.43,141,114
TWr_C_4,2,30301382.32,1382.32,17.05,78,67
TWdf_R_4,9,2115.42,2115.42,3.11,118,100
TWh_R_7,10,1355.60,1355.60,13.17,83,72
TWh_R_8,7,10101355.17,1355.17,18.09,88,75
TWr_R_1,3,20201238.26,1238.26,16.36,99,86
TWr_C_2,4,10101221.98,1221.98,14.72,80,67
TWh_C_1,6,1043.20,1043.20,42.36,96,83
TWh_RC_1,2,1255.50,1255.50,16.02,88,72
TWdf_RC_5,6,10103020.29,3020.29,4.86,144,115
TWdf_C_8,7,20202371.76,2371.76,3.99,133,115
TWr_RC_3,10,10101774.57,1774.57,26.18,107,91
TWh_RC_9,2,1364.41,1364.41,19.35,102,90
TWh_C_5,1,30301408.80,1408.80,17.75,102,89
TWh_R_2,9,20201206.67,1206.67,14.43,66,57
TWdf_RC_3,7,10102677.17,2677.17,4.92,166,140
TWdf_RC_5,3,30302814.67,2814.67,4.79,161,138
TWh_RC_1,7,1239.00,1239.00,16.56,106,91
TWr_C_2,8,10101223.82,1223.82,10.97,101,91
TWdf_C_7,10,10101875.68,1875.68,3.37,122,104
TWdf_C_1,8,20202374.40,2374.40,4.65,148,122
TWh_C_4,3,10101681.03,1681.03,19.69,123,109
TWh_R_2,5,20201460.00,1460.00,10.52,109,94
TWh_RC_4,4,30301321.29,1321.29,20.93,106,90
