problem_type,problem_number,instance,cost,dist,time,events,skipped
TWr_C,4,1,10101297.85,1297.85,26.28,105,93
TWr_RC,7,8,10101646.85,1646.85,66.53,130,109
TWdf_R,6,5,20201691.08,1691.08,4.89,141,119
TWh_C,8,1,10101446.59,1446.59,36.73,85,74
TWh_RC,9,6,1191.18,1191.18,22.18,106,94
TWr_R,2,10,10101564.76,1564.76,40.17,104,91
TWdf_C,3,7,20202628.71,2628.71,6.63,172,147
TWr_RC,1,1,20201530.00,1530.00,38.88,109,93
TWdf_RC,1,5,30302232.00,2232.00,5.84,140,119
TWh_RC,3,4,30301479.13,1479.13,75.25,107,94
TWr_R,2,4,40401712.38,1712.38,108.00,109,93
TWdf_R,6,4,10102206.15,2206.15,8.95,164,138
TWh_C,5,8,20201590.17,1590.17,55.01,110,89
TWr_RC,1,9,1596.00,1596.00,63.17,129,114
TWr_C,1,1,10101336.00,1336.00,55.33,140,121
TWr_C,7,5,10101500.00,1500.00,37.45,94,80
TWr_C,1,6,1428.80,1428.80,43.82,98,86
TWdf_C,4,5,20202612.19,2612.19,7.50,168,139
TWr_R,9,7,10101628.66,1628.66,68.18,108,92
TWdf_R,6,10,10101921.85,1921.85,11.70,162,134
TWh_RC,4,10,1006.19,1006.19,25.99,85,73
TWr_R,6,6,1377.23,1377.23,39.71,99,84
TWh_C,4,5,20201490.47,1490.47,51.72,89,74
TWh_R,3,6,10101288.56,1288.56,25.26,71,61
TWdf_RC,7,3,2595.58,2595.58,12.18,186,156
TWdf_R,1,5,10101987.83,1987.83,7.99,153,128
TWh_RC,8,2,20201399.58,1399.58,60.80,101,87
TWdf_RC,4,4,30302186.76,2186.76,6.05,146,121
TWh_C,8,8,40401377.88,1377.88,49.62,98,87
TWdf_C,1,4,1552.00,1552.00,6.69,134,110
TWr_C,8,5,10101478.12,1478.12,27.04,94,81
TWh_RC,8,10,30301465.42,1465.42,89.79,90,79
TWdf_R,9,4,50502892.46,2892.46,10.55,199,165
TWr_R,7,10,1292.97,1292.97,38.52,118,102
TWdf_R,4,7,1902.92,1902.92,7.32,135,108
TWr_RC,3,3,60601421.74,1421.74,64.00,104,91
TWr_C,5,2,10101431.43,1431.43,47.08,106,92
TWh_R,9,1,10101505.32,1505.32,61.08,99,88
TWdf_R,4,5,20201969.17,1969.17,7.70,152,126
TWr_R,9,1,10101400.20,1400.20,43.32,117,103
TWh_C,5,4,20201461.60,1461.60,26.33,98,84
TWdf_C,4,3,10102501.46,2501.46,5.86,137,108
TWdf_RC,2,1,20201724.31,1724.31,4.08,119,99
TWh_RC,9,8,10101379.53,1379.53,44.18,93,79
TWh_R,3,9,40401259.04,1259.04,79.85,89,73
TWh_C,4,2,30301570.30,1570.30,50.05,107,92
TWh_R,5,10,40401564.47,1564.47,192.10,109,93
TWr_RC,2,2,1050.46,1050.46,19.54,73,62
TWh_C,2,3,50501418.93,1418.93,76.88,123,106
TWh_R,1,1,10101085.22,1085.22,49.67,92,83
TWh_C,3,4,40401370.12,1370.12,43.90,88,73
TWr_RC,6,4,20201024.48,1024.48,53.89,123,112
TWh_R,6,3,30301631.08,1631.08,58.03,98,83
TWr_C,9,10,30301345.24,1345.24,36.61,97,83
TWdf_RC,3,2,30302064.13,2064.13,5.47,151,125
TWr_C,1,2,1142.40,1142.40,44.44,105,89
TWdf_RC,4,7,30302327.05,2327.05,11.09,178,147
TWr_RC,1,4,10101461.00,1461.00,49.29,118,104
TWr_RC,9,1,1347.72,1347.72,35.82,91,81
TWdf_RC,2,7,10102779.38,2779.38,6.26,158,127
TWh_RC,6,2,20201052.24,1052.24,79.51,87,74
TWh_RC,2,10,10101350.46,1350.46,38.46,108,94
TWdf_R,7,10,2012.97,2012.97,8.38,126,98
TWr_RC,1,6,60601561.50,1561.50,44.76,99,81
TWh_C,8,3,10101282.35,1282.35,62.76,105,93
TWr_RC,5,5,50501357.82,1357.82,26.68,100,87
TWr_R,9,9,10101199.09,1199.09,31.86,81,67
TWh_R,5,7,10101082.23,1082.23,32.08,116,106
TWr_C,2,6,10101261.37,1261.37,28.18,82,69
TWh_RC,6,9,10101057.61,1057.61,34.24,74,61
TWh_R,3,1,1110.80,1110.80,46.41,101,85
TWr_C,3,8,1501.41,1501.41,24.04,109,94
TWh_R,2,7,20201455.24,1455.24,54.27,85,71
TWh_R,4,10,1100.83,1100.83,17.76,80,69
TWh_C,3,7,20201591.06,1591.06,22.45,111,98
